date,fwd_rate,div_yield
2025-05-08,0.04068,0.01909
2025-08-08,0.03974,0.01270
2025-11-10,0.03922,0.01969
2026-11-09,0.03796,0.02143
2027-11-08,0.03755,0.02223
2028-11-08,0.03719,0.02291
2029-11-08,0.03751,0.02337
